status,category,relative_folder,image_count,product_id,product_code,product_name,confidence,files
"matched","Files","Files","1","e95f6b8d-75a7-4a7c-a765-4ba72b6fb920","PVC-FILE-602","PVC FILES","0.880","File.jpg"
"matched","Files","Files\SBS File(Small)","1","e95f6b8d-75a7-4a7c-a765-4ba72b6fb920","PVC-FILE-602","PVC FILES","0.880","download.jpg"
"matched","Files","Files\SBS File(Large)","1","e95f6b8d-75a7-4a7c-a765-4ba72b6fb920","PVC-FILE-602","PVC FILES","0.880","download.jpg"
"matched","Files","Files\PVC File(Small)","1","e95f6b8d-75a7-4a7c-a765-4ba72b6fb920","PVC-FILE-602","PVC FILES","0.880","download.jpg"
"matched","Files","Files\PVC File(Large)","1","e95f6b8d-75a7-4a7c-a765-4ba72b6fb920","PVC-FILE-602","PVC FILES","0.880","download.jpg"
"matched","Files","Files\PVC Clip","1","e95f6b8d-75a7-4a7c-a765-4ba72b6fb920","PVC-FILE-602","PVC FILES","0.880","download.jpg"
"matched","Files","Files\PVC Clip\Type 3","1","fc451eca-fa5c-480e-acad-c7f1dbdc321e","PVC-CLIP-234","PVC CLIP(SMALL SIZE)","0.880","download.jpg"
"matched","Files","Files\PVC Clip\Type 2","1","fc451eca-fa5c-480e-acad-c7f1dbdc321e","PVC-CLIP-234","PVC CLIP(SMALL SIZE)","0.880","download.jpg"
"matched","Files","Files\PVC Clip\Type 1","1","fc451eca-fa5c-480e-acad-c7f1dbdc321e","PVC-CLIP-234","PVC CLIP(SMALL SIZE)","0.880","download.jpg"
"matched","card Holder","card Holder","1","a0dfdf91-f556-448b-b707-ade1deb1fba3","CARD-HOL-031","Card Holders","0.880","Card Holder.jpg"
"matched","card Holder","card Holder\Vertical Laser Printed Card Holder","4","a0dfdf91-f556-448b-b707-ade1deb1fba3","CARD-HOL-031","Card Holders","0.880","1.png | 2.png | 3.png | 4.png"
"matched","card Holder","card Holder\Horizontal Laser Printed Card Holder","4","a0dfdf91-f556-448b-b707-ade1deb1fba3","CARD-HOL-031","Card Holders","0.880","1.png | 2.png | 3.png | 4.png"
"matched","Bill Book","Bill Book","1","a8e6cc9c-da71-4c3f-8cec-1e7ddbfe75eb","BILL-BOO-449","BILL BOOKS","0.880","Bill Book.jpg"
"matched","Bill Book","Bill Book\A4 Bill Book - 3 Copy","1","a8e6cc9c-da71-4c3f-8cec-1e7ddbfe75eb","BILL-BOO-449","BILL BOOKS","0.880","download.jpg"
"matched","Bill Book","Bill Book\A4 Bill Book - 2 Copy","1","a8e6cc9c-da71-4c3f-8cec-1e7ddbfe75eb","BILL-BOO-449","BILL BOOKS","0.880","download.jpg"
"matched","ATM Pouch","ATM Pouch","1","d684d77c-d246-48f3-9958-22f975727368","ATM-POUC-224","ATM POUCHES","0.880","thumb.jpg"
"matched","ATM Pouch","ATM Pouch\ATM Pouch - Matt Lamination","1","d684d77c-d246-48f3-9958-22f975727368","ATM-POUC-224","ATM POUCHES","0.880","download.jpg"
"matched","ATM Pouch","ATM Pouch\ATM Pouch - Gloss Lamination","2","d684d77c-d246-48f3-9958-22f975727368","ATM-POUC-224","ATM POUCHES","0.880","1.jpg | 2.jpg"
"matched","Visiting Card","Visiting Card\800 GSM visiting cards\800 GSM + Craft Paper\800 GSM CraftSheet + Foil + Die Cut","3","099d0091-a345-4288-a9d4-1612c1e4a397","VIS-800-001","800 GSM + Velvet","0.862","images_product-images_331_Craft A Pho.jpg | images_product-images_331_Craft B Pho.jpg | images_product-images_331_Craft C Pho.jpg"
"matched","Letter Heads","Letter Heads\100 GSM, Bond Paper\Letter Head - 100 GSM, Bond Paper ( A4 Size )","1","cdfe8b53-97b5-4c97-b4af-6bb7b79416df","IOO-GSM--059","IOO GSM, Bond Paper","0.800","download.jpg"
"matched","Files","Files\PVC File(Small)\PVC file(Glass Coated, Small Size)","1","fc451eca-fa5c-480e-acad-c7f1dbdc321e","PVC-CLIP-234","PVC CLIP(SMALL SIZE)","0.764","download.jpg"
"matched","Visiting Card","Visiting Card\Regular Visting Card\Gloss Coated(Small)\Gloss UV Coated - Small cards","1","faf6701c-af91-44a5-b38a-04431e782033","GAR-GLS-001","Gloss Coated Tag","0.750","download.jpg"
"matched","Letter Heads","Letter Heads\100 GSM, Bond Paper","1","cdfe8b53-97b5-4c97-b4af-6bb7b79416df","IOO-GSM--059","IOO GSM, Bond Paper","0.750","download.png"
